source,search_keyword,title,company,location,date_posted,url,first_seen
hellowork,Contrôleur de gestion retail,Contrôleur de Gestion Business H/F,Showroomprivé,Saint-Denis - 93,2026-09-01,https://www.hellowork.com/fr-fr/emplois/82848276.html,2026-08-31
indeed,Prévision des ventes,Head of Assets (H/F),Veles Energies,"Paris, A8, FR",2026-09-01,https://fr.indeed.com/viewjob?jk=49bc7217cb2730d6,2026-09-01
hellowork,Data Analyst Retail,Consultant Senior - Data Analyst - Luxe & Retail H/F,Square Management,Neuilly-sur-Seine - 92,2026-09-01,https://www.hellowork.com/fr-fr/emplois/80876306.html,2026-09-01
hellowork,Prévision des ventes,Key Account Manager Dispositif Médical - Ile de France - CDI H/F,Aster Développement,Nanterre - 92,2026-09-01,https://www.hellowork.com/fr-fr/emplois/82886357.html,2026-09-01
hellowork,Prévision des ventes,Key Account Manager GSA GSS Pureplayers H/F,Michael Page,Saint-Denis - 93,2026-09-01,https://www.hellowork.com/fr-fr/emplois/82885435.html,2026-09-01
hellowork,Prévision des ventes,Ic Modernisation Idf H/F,HC Resources,Vélizy-Villacoublay - 78,2026-09-01,https://www.hellowork.com/fr-fr/emplois/82884962.html,2026-09-01
hellowork,Prévision des ventes,Directeur de Business Unit Data & IA Paris H/F,Skaelia,Paris 1er - 75,2026-09-01,https://www.hellowork.com/fr-fr/emplois/82884559.html,2026-09-01
hellowork,Prévision des ventes,Responsable Practice Data - IA Paris H/F,Skaelia,Paris 1er - 75,2026-09-01,https://www.hellowork.com/fr-fr/emplois/82884554.html,2026-09-01
hellowork,Prévision des ventes,Responsable d'Agence IA & Data - Paris H/F,Skaelia,Paris 1er - 75,2026-09-01,https://www.hellowork.com/fr-fr/emplois/82881073.html,2026-09-01
hellowork,Prévision des ventes,Chef de Produit - Apprentissage H/F,Viatris,Paris - 75,2026-09-01,https://www.hellowork.com/fr-fr/emplois/79632347.html,2026-09-01
hellowork,Prévision des ventes,Coordinateur - Planificateur Industriel H/F,Randstad professional,Saint-Ouen-sur-Seine - 93,2026-09-01,https://www.hellowork.com/fr-fr/emplois/81952125.html,2026-09-01
hellowork,Prévision des ventes,Technico-Commercial Confirmé - Équipements de Laboratoire H/F,Talents Commerciaux,Collégien - 77,2026-09-01,https://www.hellowork.com/fr-fr/emplois/78621778.html,2026-09-01
hellowork,Prévision des ventes,Key Account Executive - Segment Law H/F,Doctrine,Paris - 75,2026-09-01,https://www.hellowork.com/fr-fr/emplois/80878098.html,2026-09-01
hellowork,Prévision des ventes,Compte Clé Gd H/F,,Île-de-France,2026-09-01,https://www.hellowork.com/fr-fr/emplois/80879451.html,2026-09-01
hellowork,Prévision des ventes,Directeur de Magasin H/F,Tang Frères,Herblay-sur-Seine - 95,2026-09-01,https://www.hellowork.com/fr-fr/emplois/79653928.html,2026-09-01
hellowork,Prévision des ventes,Ingenieur Commercial Modernisation Grands Comptes H/F,HC Resources,Vélizy-Villacoublay - 78,2026-09-01,https://www.hellowork.com/fr-fr/emplois/81962773.html,2026-09-01
hellowork,Prévision des ventes,Export Sales Manager H/F,Thales,Gennevilliers - 92,2026-09-01,https://www.hellowork.com/fr-fr/emplois/81953431.html,2026-09-01
hellowork,Prévision des ventes,Directeur de Magasin Adjoint H/F,Tang Frères,Herblay-sur-Seine - 95,2026-09-01,https://www.hellowork.com/fr-fr/emplois/79654106.html,2026-09-01
hellowork,Prévision des ventes,Responsable Adjoint - Boulangerie H/F,Midoré,Paris - 75,2026-09-01,https://www.hellowork.com/fr-fr/emplois/82858798.html,2026-09-01
hellowork,Prévision des ventes,CDD Master Planner S&S H/F,Tereos,Moussy-le-Vieux - 77,2026-09-01,https://www.hellowork.com/fr-fr/emplois/82852572.html,2026-09-01
hellowork,Contrôleur de gestion retail,Senior Business Partner - Contrôle de Gestion Hôtels H/F,Adagio Aparthotel,Paris - 75,2026-09-01,https://www.hellowork.com/fr-fr/emplois/79663073.html,2026-09-01
indeed,Prévision des ventes,MANAGER H/F,Popeyes,"Rosny-sous-Bois, A8, FR",2026-08-31,https://fr.indeed.com/viewjob?jk=e3b66af5cfe6e065,2026-08-31
indeed,Prévision des ventes,MANAGER H/F,Popeyes,"Les Ulis, A8, FR",2026-08-31,https://fr.indeed.com/viewjob?jk=a97020a86bb0bd78,2026-08-31
indeed,Prévision des ventes,NOËL Conseiller de vente H/F - Claye Souilly,Pandora Jewelry,"Claye-Souilly, A8, FR",2026-08-31,https://fr.indeed.com/viewjob?jk=78f00dabe6219b71,2026-08-31
indeed,Prévision des ventes,NOËL Conseiller de Vente H/F - Rosny,Pandora Jewelry,"Rosny-sous-Bois, A8, FR",2026-08-31,https://fr.indeed.com/viewjob?jk=d8efb7b746e3bdcd,2026-08-31
indeed,Prévision des ventes,NOËL Conseiller de Vente H/F - Les Ulis,Pandora Jewelry,"Les Ulis, A8, FR",2026-08-31,https://fr.indeed.com/viewjob?jk=704bb863e8e17048,2026-08-31
indeed,Prévision des ventes,NOËL Conseiller de Vente H/F - Noisy,Pandora Jewelry,"Noisy-le-Grand, A8, FR",2026-08-31,https://fr.indeed.com/viewjob?jk=bd0c62a9a3ed90d8,2026-08-31
indeed,Prévision des ventes,NOËL Conseiller de Vente H/F - Parly 2,Pandora Jewelry,"Le Chesnay, A8, FR",2026-08-31,https://fr.indeed.com/viewjob?jk=fdfd3e3e93cbe90c,2026-08-31
